device_id,customer_id,device_type,os_family,manufacturer,risk_weight,is_mobile,is_rooted,is_emulator,is_trusted,first_seen_date,last_seen_date
DEV00000001,CUST000001,Laptop,Windows,Lenovo,0.1,False,False,False,True,2022-09-30,2022-09-30
DEV00000002,CUST000001,Laptop,Windows,Asus,0.12,False,False,False,True,2026-02-11,2026-02-11
DEV00000003,CUST000002,Mobile,Android,Xiaomi,0.2,True,False,False,True,2026-04-17,2026-04-17
DEV00000004,CUST000002,Mobile,Android,OnePlus,0.15,True,False,False,True,2022-06-21,2022-06-21
DEV00000005,CUST000003,Laptop,Windows,Asus,0.12,False,False,False,True,2021-09-28,2021-09-28
DEV00000006,CUST000003,Mobile,Android,Oppo,0.22,True,False,False,True,2024-04-05,2024-04-05
DEV00000007,CUST000003,Tablet,iOS,Apple,0.06,True,False,False,False,2020-06-26,2020-06-26
DEV00000008,CUST000004,Mobile,Android,Xiaomi,0.2,True,False,False,True,2024-01-21,2024-01-21
DEV00000009,CUST000004,Mobile,Android,OnePlus,0.15,True,False,False,True,2022-07-22,2022-07-22
DEV00000010,CUST000005,Mobile,Android,Realme,0.22,True,False,False,True,2024-02-03,2024-02-03
DEV00000011,CUST000005,Tablet,Android,Samsung,0.18,True,False,False,True,2020-10-19,2020-10-19
DEV00000012,CUST000005,Mobile,Android,Vivo,0.22,True,False,False,True,2021-10-31,2021-10-31
DEV00000013,CUST000005,Mobile,Android,Samsung,0.15,True,False,False,True,2026-03-31,2026-03-31
DEV00000014,CUST000006,Mobile,Android,Xiaomi,0.2,True,False,False,False,2024-07-01,2024-07-01
DEV00000015,CUST000006,Tablet,Android,Samsung,0.18,True,False,False,True,2023-07-12,2023-07-12
DEV00000016,CUST000007,Mobile,iOS,Apple,0.05,True,False,False,True,2022-10-07,2022-10-07
DEV00000017,CUST000008,Tablet,Android,Lenovo,0.18,True,False,False,True,2021-07-20,2021-07-20
DEV00000018,CUST000008,Tablet,iOS,Apple,0.06,True,False,False,True,2021-03-25,2021-03-25
DEV00000019,CUST000008,Mobile,Android,Oppo,0.22,True,False,False,True,2020-09-17,2020-09-17
DEV00000020,CUST000009,Mobile,Android,Vivo,0.22,True,False,False,True,2026-01-08,2026-01-08
DEV00000021,CUST000009,Laptop,Windows,Asus,0.12,False,False,False,False,2023-04-17,2023-04-17
DEV00000022,CUST000010,Mobile,Android,Xiaomi,0.2,True,False,False,True,2023-05-07,2023-05-07
DEV00000023,CUST000011,Mobile,iOS,Apple,0.05,True,False,False,True,2023-08-20,2023-08-20
DEV00000024,CUST000012,Tablet,Android,Lenovo,0.18,True,False,False,True,2026-05-12,2026-05-12
DEV00000025,CUST000012,Tablet,iOS,Apple,0.06,True,False,False,True,2020-10-10,2020-10-10
DEV00000026,CUST000013,Mobile,iOS,Apple,0.05,True,False,False,True,2022-05-17,2022-05-17
DEV00000027,CUST000013,Laptop,Windows,Asus,0.12,False,False,False,True,2023-06-30,2023-06-30
DEV00000028,CUST000014,Mobile,Android,Vivo,0.22,True,False,False,True,2020-09-19,2020-09-19
DEV00000029,CUST000015,Tablet,Android,Samsung,0.18,True,False,False,True,2022-07-26,2022-07-26
DEV00000030,CUST000016,Tablet,iOS,Apple,0.06,True,False,False,True,2022-05-27,2022-05-27
DEV00000031,CUST000016,Mobile,Android,Xiaomi,0.2,True,False,False,True,2026-06-18,2026-06-18
DEV00000032,CUST000017,Mobile,Android,Samsung,0.15,True,False,False,True,2023-12-22,2023-12-22
DEV00000033,CUST000017,Mobile,Android,Xiaomi,0.2,True,False,False,True,2021-02-07,2021-02-07
DEV00000034,CUST000018,Laptop,Windows,Asus,0.12,False,False,False,True,2026-01-05,2026-01-05
DEV00000035,CUST000018,Tablet,iOS,Apple,0.06,True,False,False,True,2022-10-20,2022-10-20
DEV00000036,CUST000019,Laptop,macOS,Apple,0.06,False,False,False,True,2021-01-17,2021-01-17
DEV00000037,CUST000020,Mobile,Android,Xiaomi,0.2,True,False,True,True,2020-08-28,2020-08-28
DEV00000038,CUST000020,Mobile,Android,Vivo,0.22,True,False,False,True,2025-02-06,2025-02-06
DEV00000039,CUST000020,Mobile,iOS,Apple,0.05,True,False,False,True,2026-03-26,2026-03-26
DEV00000040,CUST000021,Laptop,Windows,Lenovo,0.1,False,False,False,True,2023-07-08,2023-07-08
DEV00000041,CUST000022,Mobile,Android,Realme,0.22,True,False,False,True,2022-01-31,2022-01-31
DEV00000042,CUST000023,Laptop,Windows,HP,0.12,False,False,False,True,2026-06-29,2026-06-29
DEV00000043,CUST000024,Mobile,iOS,Apple,0.05,True,False,False,True,2022-09-04,2022-09-04
DEV00000044,CUST000024,Tablet,Android,Samsung,0.18,True,False,False,True,2025-02-15,2025-02-15
DEV00000045,CUST000024,Mobile,Android,Xiaomi,0.2,True,False,False,True,2025-02-20,2025-02-20
DEV00000046,CUST000025,Mobile,Android,Xiaomi,0.2,True,False,False,True,2020-10-08,2020-10-08
DEV00000047,CUST000025,Laptop,Windows,Dell,0.1,False,False,False,False,2026-02-03,2026-02-03
DEV00000048,CUST000025,Mobile,Android,OnePlus,0.15,True,True,False,True,2025-12-06,2025-12-06
DEV00000049,CUST000026,Laptop,macOS,Apple,0.06,False,False,False,True,2021-03-14,2021-03-14
DEV00000050,CUST000026,Mobile,Android,Samsung,0.15,True,False,False,True,2022-05-12,2022-05-12
DEV00000051,CUST000027,Laptop,Windows,Asus,0.12,False,False,False,True,2021-01-13,2021-01-13
DEV00000052,CUST000028,Mobile,Android,OnePlus,0.15,True,False,False,True,2021-10-23,2021-10-23
