merchant_id,merchant_name,merchant_category,mcc_code,channel,avg_transaction,risk_level,fraud_weight,settlement_type,city,state,latitude,longitude,accepts_upi,accepts_card,accepts_net_banking,merchant_since,is_active
MER000001,Air India Hyderabad Retail,Airlines,4511,Online,8500,Medium,10,T+2,Hyderabad,Telangana,17.385,78.4867,True,True,True,2017-04-19,True
MER000002,Google Play Warangal Retail,App Store,5815,Online,800,Medium,8,Instant,Warangal,Telangana,17.9689,79.5941,True,True,True,2020-03-20,True
MER000003,Airtel Recharge Delhi Store,Telecom,4814,Online,499,Low,2,Instant,Delhi,Delhi,28.6139,77.209,True,True,True,2024-05-29,True
MER000004,Air India Hyderabad Outlet,Airlines,4511,Online,8500,Medium,10,T+2,Hyderabad,Telangana,17.385,78.4867,True,True,True,2024-06-24,True
MER000005,NGO Donation Thiruvananthapuram Mart,Charity,8398,Online,1200,Medium,10,T+1,Thiruvananthapuram,Kerala,8.5241,76.9366,True,True,True,2023-07-10,True
MER000006,Airtel Recharge Visakhapatnam Services,Telecom,4814,Online,499,Low,2,Instant,Visakhapatnam,Andhra Pradesh,17.6868,83.2185,True,True,True,2017-10-19,True
MER000007,Reliance Fresh Nagpur Hub,Grocery,5411,Offline,1200,Low,2,T+1,Nagpur,Maharashtra,21.1458,79.0882,True,True,True,2023-02-10,True
MER000008,IRCTC Kochi Retail,Travel,4112,Online,1800,Low,3,T+1,Kochi,Kerala,9.9312,76.2673,True,True,True,2016-10-15,True
MER000009,BookMyShow Pune Retail,Entertainment,7922,Online,700,Low,3,T+1,Pune,Maharashtra,18.5204,73.8567,True,True,True,2018-08-25,True
MER000010,Apollo Pharmacy Indore Center,Pharmacy,5912,Offline,900,Low,2,T+1,Indore,Madhya Pradesh,22.7196,75.8577,True,True,True,2016-08-07,True
MER000011,Spotify Jaipur Mart,Streaming,4899,Online,119,Low,2,Recurring,Jaipur,Rajasthan,26.9124,75.7873,True,True,True,2021-01-20,False
MER000012,Flipkart Kochi Center,E-Commerce,5942,Online,2200,Low,5,T+1,Kochi,Kerala,9.9312,76.2673,True,True,True,2020-02-20,True
MER000013,Jio Recharge Delhi Services,Telecom,4814,Online,399,Low,2,Instant,Delhi,Delhi,28.6139,77.209,True,True,False,2022-01-21,True
MER000014,OYO Chandigarh Point,Hotels,7011,Online,3500,Medium,10,T+2,Chandigarh,Chandigarh,30.7333,76.7794,True,True,True,2020-12-09,True
MER000015,Air India Warangal Outlet,Airlines,4511,Online,8500,Medium,10,T+2,Warangal,Telangana,17.9689,79.5941,True,True,True,2023-02-13,True
MER000016,Spotify Kolkata Mart,Streaming,4899,Online,119,Low,2,Recurring,Kolkata,West Bengal,22.5726,88.3639,True,True,True,2017-06-17,True
MER000017,Croma Nagpur Mart,Electronics,5732,Offline,18000,Medium,15,T+2,Nagpur,Maharashtra,21.1458,79.0882,True,True,True,2023-07-24,True
MER000018,Netflix Coimbatore Point,Streaming,4899,Online,649,Low,2,Recurring,Coimbatore,Tamil Nadu,11.0168,76.9558,True,False,False,2015-04-05,True
MER000019,Bharat Petroleum Mumbai Retail,Fuel,5541,Offline,3100,Medium,8,T+1,Mumbai,Maharashtra,19.076,72.8777,True,True,True,2022-08-18,True
MER000020,PayPal Merchant Ahmedabad Hub,International,4829,Online,15000,High,35,Instant,Ahmedabad,Gujarat,23.0225,72.5714,True,True,True,2020-11-27,True
MER000021,Reliance Fresh Lucknow Mart,Grocery,5411,Offline,1200,Low,2,T+1,Lucknow,Uttar Pradesh,26.8467,80.9462,True,True,True,2026-05-21,True
MER000022,Reliance Fresh Visakhapatnam Mart,Grocery,5411,Offline,1200,Low,2,T+1,Visakhapatnam,Andhra Pradesh,17.6868,83.2185,True,True,False,2015-01-05,True
MER000023,BookMyShow Kolkata Point,Entertainment,7922,Online,700,Low,3,T+1,Kolkata,West Bengal,22.5726,88.3639,True,False,False,2021-11-24,True
MER000024,Jio Recharge Vijayawada Center,Telecom,4814,Online,399,Low,2,Instant,Vijayawada,Andhra Pradesh,16.5062,80.648,True,False,True,2025-11-25,True
MER000025,Jio Recharge Jaipur Mart,Telecom,4814,Online,399,Low,2,Instant,Jaipur,Rajasthan,26.9124,75.7873,True,True,True,2020-12-11,True
MER000026,Netflix Visakhapatnam Hub,Streaming,4899,Online,649,Low,2,Recurring,Visakhapatnam,Andhra Pradesh,17.6868,83.2185,True,False,True,2019-07-06,True
MER000027,Rolex Boutique Lucknow Hub,Luxury,5944,Offline,450000,High,40,T+3,Lucknow,Uttar Pradesh,26.8467,80.9462,False,True,True,2025-02-15,True
MER000028,Jio Recharge Thiruvananthapuram Center,Telecom,4814,Online,399,Low,2,Instant,Thiruvananthapuram,Kerala,8.5241,76.9366,True,True,True,2019-12-10,True
MER000029,Air India Coimbatore Store,Airlines,4511,Online,8500,Medium,10,T+2,Coimbatore,Tamil Nadu,11.0168,76.9558,True,True,False,2016-08-03,True
