transaction_id,timestamp,customer_id,device_id,merchant_id,merchant_category,transaction_type,amount,city,state,bank,status,is_fraud,fraud_type,risk_score
TXN0EA416BA97D0,2026-07-08T02:59:11.859434,CUST006253,DEV00012916,MER003727,Ride Sharing,UPI,30351.47,Warangal,Telangana,ICICI Bank,SUCCESS,0,NONE,12
TXN04D82B598303,2026-07-08T02:59:12.874484,CUST005734,DEV00011860,MER000166,Luxury,CARD,7246.85,Visakhapatnam,Andhra Pradesh,Axis Bank,SUCCESS,0,NONE,22
TXNA9ED49CCBDDB,2026-07-08T02:59:13.884041,CUST006192,DEV00012789,MER003438,Ride Sharing,UPI,9443.93,Delhi,Delhi,ICICI Bank,SUCCESS,1,HIGH_RISK_MERCHANT,77
TXNA832F6869262,2026-07-08T02:59:14.898011,CUST003235,DEV00006649,MER000794,Supermarket,CARD,17887.22,Chandigarh,Chandigarh,ICICI Bank,SUCCESS,0,NONE,22
TXNC46E5357549D,2026-07-08T02:59:15.905890,CUST008321,DEV00017176,MER001652,E-Commerce,CARD,1825.84,Chandigarh,Chandigarh,HDFC Bank,SUCCESS,0,NONE,18
TXN6304F6983FFE,2026-07-08T02:59:16.923411,CUST006552,DEV00013544,MER003728,Fuel,CARD,27332.57,Nagpur,Maharashtra,HDFC Bank,SUCCESS,0,NONE,5
TXNE4586A79AC7D,2026-07-08T02:59:17.936765,CUST000498,DEV00001001,MER001606,Telecom,CARD,15097.06,Chandigarh,Chandigarh,Punjab National Bank,SUCCESS,0,NONE,9
TXN20E0CC99F003,2026-07-08T02:59:18.956106,CUST002097,DEV00004242,MER002390,Jewellery,CARD,5024.75,Hyderabad,Telangana,State Bank of India,SUCCESS,0,NONE,7
TXNCB6D0181E8CB,2026-07-08T02:59:19.969042,CUST008182,DEV00016888,MER001611,Ride Sharing,ATM,2782.32,Hyderabad,Telangana,State Bank of India,SUCCESS,0,NONE,24
TXN76A3639045B7,2026-07-08T02:59:20.983430,CUST000206,DEV00000417,MER002598,Ride Sharing,NET_BANKING,987.5,Mumbai,Maharashtra,ICICI Bank,SUCCESS,0,NONE,22
TXN142BD61C2FCD,2026-07-08T02:59:21.999154,CUST000993,DEV00002007,MER000968,Fuel,UPI,2518.71,Chandigarh,Chandigarh,HDFC Bank,SUCCESS,0,NONE,22
TXN6D3B16508CAD,2026-07-08T02:59:23.008618,CUST000579,DEV00001168,MER001764,Grocery,NET_BANKING,2929.42,Jaipur,Rajasthan,State Bank of India,SUCCESS,0,NONE,16
TXN72A54BCE40E0,2026-07-08T02:59:24.022553,CUST000353,DEV00000720,MER003633,Fuel,CARD,7730.7,Bengaluru,Karnataka,Axis Bank,SUCCESS,1,HIGH_RISK_MERCHANT,82
TXNC68672C63EE4,2026-07-08T02:59:25.043446,CUST007979,DEV00016482,MER001767,Electronics,NET_BANKING,3492.82,Kolkata,West Bengal,Axis Bank,FAILED,0,NONE,8
TXN5C2DBD93FB42,2026-07-08T02:59:26.062079,CUST003827,DEV00007902,MER001914,App Store,ATM,911.55,Bhopal,Madhya Pradesh,Axis Bank,SUCCESS,0,NONE,16
TXN090F0F70E7FE,2026-07-08T02:59:27.073181,CUST004625,DEV00009556,MER001822,Charity,CARD,5465.53,Chennai,Tamil Nadu,HDFC Bank,SUCCESS,0,NONE,13
TXNF158AFF7516F,2026-07-08T02:59:28.083264,CUST009610,DEV00019856,MER002037,Airlines,UPI,3760.59,Chandigarh,Chandigarh,HDFC Bank,SUCCESS,0,NONE,12
TXNC876E364DF7C,2026-07-08T02:59:29.093288,CUST006966,DEV00014410,MER002091,Airlines,CARD,9778.87,Vijayawada,Andhra Pradesh,ICICI Bank,SUCCESS,0,NONE,25
TXNA03EA5D996A0,2026-07-08T02:59:30.100090,CUST003732,DEV00007699,MER003082,Pharmacy,CARD,1059.62,Delhi,Delhi,Axis Bank,SUCCESS,0,NONE,6
TXN91C19C2A02CD,2026-07-08T02:59:31.107757,CUST005902,DEV00012219,MER001444,E-Commerce,CARD,1800.49,Mumbai,Maharashtra,State Bank of India,SUCCESS,0,NONE,17
TXN40C37FC92407,2026-07-08T02:59:32.115932,CUST001261,DEV00002561,MER002487,Food Delivery,NET_BANKING,5227.29,Bengaluru,Karnataka,HDFC Bank,SUCCESS,0,NONE,23
TXN703013A80AFD,2026-07-08T02:59:33.126856,CUST003908,DEV00008070,MER001463,App Store,NET_BANKING,27463.03,Chandigarh,Chandigarh,State Bank of India,SUCCESS,0,NONE,25
TXNBD2435D7193A,2026-07-08T02:59:34.135546,CUST006132,DEV00012665,MER004072,Streaming,ATM,9060.63,Chandigarh,Chandigarh,HDFC Bank,SUCCESS,0,NONE,22
TXN47F11F48C816,2026-07-08T02:59:35.144560,CUST009013,DEV00018619,MER000114,Entertainment,NET_BANKING,8342.03,Hyderabad,Telangana,HDFC Bank,SUCCESS,0,NONE,23
TXN4931DF9555F3,2026-07-08T02:59:36.151984,CUST007738,DEV00015997,MER004303,Telecom,ATM,1439.63,Chennai,Tamil Nadu,Axis Bank,SUCCESS,0,NONE,9
TXN7F828626DC6A,2026-07-08T02:59:37.164080,CUST004745,DEV00009813,MER003495,Grocery,ATM,1360.15,Vijayawada,Andhra Pradesh,Indian Bank,SUCCESS,1,HIGH_RISK_MERCHANT,78
TXNC7E509643760,2026-07-08T02:59:38.171043,CUST009388,DEV00019403,MER001842,Ride Sharing,CARD,3475.6,Pune,Maharashtra,HDFC Bank,SUCCESS,0,NONE,18
TXN2F1C612A2B4E,2026-07-08T02:59:39.180807,CUST001664,DEV00003355,MER001420,E-Commerce,UPI,6717.78,Thiruvananthapuram,Kerala,Punjab National Bank,SUCCESS,0,NONE,19
TXN358BEA98D90A,2026-07-08T02:59:40.186377,CUST004905,DEV00010160,MER002686,Telecom,NET_BANKING,3602.66,Delhi,Delhi,ICICI Bank,SUCCESS,0,NONE,5
TXN91EBA71228C4,2026-07-08T02:59:41.200162,CUST000351,DEV00000716,MER004046,Luxury,UPI,1491.29,Kochi,Kerala,State Bank of India,SUCCESS,0,NONE,13
TXN6B82D9F68496,2026-07-08T02:59:42.217573,CUST002349,DEV00004791,MER001158,App Store,NET_BANKING,1100.33,Visakhapatnam,Andhra Pradesh,HDFC Bank,SUCCESS,0,NONE,19
TXN52F990CABBC8,2026-07-08T02:59:43.234842,CUST000922,DEV00001865,MER001728,Fuel,UPI,1724.48,Lucknow,Uttar Pradesh,ICICI Bank,SUCCESS,0,NONE,13
TXN83771384AA83,2026-07-08T02:59:44.248256,CUST002887,DEV00005918,MER004552,Jewellery,CARD,1648.86,Bhopal,Madhya Pradesh,State Bank of India,SUCCESS,0,NONE,25
TXN0780F6C8C7CB,2026-07-08T02:59:45.263937,CUST005472,DEV00011314,MER002765,Hotels,NET_BANKING,2998.35,Chennai,Tamil Nadu,Axis Bank,SUCCESS,0,NONE,11
TXNA517E3755D58,2026-07-08T02:59:46.279276,CUST009687,DEV00020017,MER004011,Airlines,CARD,5576.59,Bengaluru,Karnataka,ICICI Bank,SUCCESS,0,NONE,21
TXN5D28A56A6736,2026-07-08T02:59:47.291460,CUST003865,DEV00007985,MER003757,App Store,UPI,13204.3,Kochi,Kerala,Punjab National Bank,SUCCESS,0,NONE,8
TXN05D83688E675,2026-07-08T02:59:48.305602,CUST005506,DEV00011390,MER004694,Jewellery,NET_BANKING,26955.77,Warangal,Telangana,HDFC Bank,SUCCESS,0,NONE,14
TXN6AE7F2F43E45,2026-07-08T02:59:49.320413,CUST008896,DEV00018365,MER001805,Hotels,CARD,5129.91,Ahmedabad,Gujarat,HDFC Bank,SUCCESS,0,NONE,7
TXNEB4E4962D265,2026-07-08T02:59:50.335343,CUST003504,DEV00007221,MER002633,Hotels,UPI,845.04,Jaipur,Rajasthan,ICICI Bank,SUCCESS,0,NONE,22
TXN5295443BAD2D,2026-07-08T02:59:51.349435,CUST000445,DEV00000895,MER000510,Food Delivery,CARD,4603.7,Bhubaneswar,Odisha,State Bank of India,SUCCESS,0,NONE,22
TXNCBDEDABA52CA,2026-07-08T02:59:52.365513,CUST001061,DEV00002142,MER001393,Fuel,CARD,1244.94,Vijayawada,Andhra Pradesh,Axis Bank,SUCCESS,0,NONE,18
TXN1D91A03AFB0D,2026-07-08T02:59:53.377572,CUST000819,DEV00001646,MER004834,Telecom,CARD,3297.36,Mumbai,Maharashtra,ICICI Bank,SUCCESS,0,NONE,11
TXNE843451A0603,2026-07-08T02:59:54.388927,CUST003829,DEV00007909,MER001562,Pharmacy,NET_BANKING,16796.86,Pune,Maharashtra,State Bank of India,SUCCESS,0,NONE,16
TXNE034318F48DB,2026-07-08T02:59:55.402877,CUST002424,DEV00004940,MER003298,Food Delivery,ATM,13417.09,Kochi,Kerala,HDFC Bank,SUCCESS,0,NONE,12
TXN9A6B96C7DD9D,2026-07-08T02:59:56.414519,CUST007153,DEV00014806,MER004169,Supermarket,CARD,3175.25,Chandigarh,Chandigarh,ICICI Bank,SUCCESS,1,IMPOSSIBLE_TRAVEL,95
TXN807413BB87DD,2026-07-08T02:59:57.423346,CUST006342,DEV00013090,MER000738,Ride Sharing,CARD,4210.72,Kochi,Kerala,ICICI Bank,SUCCESS,0,NONE,6
TXN689716F3CF75,2026-07-08T02:59:58.435802,CUST002447,DEV00004986,MER001376,Telecom,CARD,3548.55,Bhubaneswar,Odisha,Axis Bank,SUCCESS,1,HIGH_RISK_MERCHANT,85
TXN2747DD03E57D,2026-07-08T02:59:59.452807,CUST009118,DEV00018842,MER001288,E-Commerce,UPI,556.15,Chennai,Tamil Nadu,State Bank of India,SUCCESS,0,NONE,20
TXN4649D44B1F64,2026-07-08T03:00:00.470484,CUST009856,DEV00020392,MER000194,Entertainment,CARD,6761.25,Ahmedabad,Gujarat,HDFC Bank,SUCCESS,0,NONE,23
TXN8DDA94A7A8E2,2026-07-08T03:00:01.482668,CUST004113,DEV00008488,MER004585,App Store,ATM,957.16,Visakhapatnam,Andhra Pradesh,State Bank of India,SUCCESS,0,NONE,18
TXN778916CFE9E4,2026-07-08T03:00:02.492430,CUST000734,DEV00001481,MER003799,Food Delivery,CARD,1782.4,Lucknow,Uttar Pradesh,State Bank of India,SUCCESS,0,NONE,16
TXN2D4A61693C88,2026-07-08T03:00:03.506228,CUST005444,DEV00011255,MER002969,Charity,ATM,1194.51,Bhopal,Madhya Pradesh,Axis Bank,SUCCESS,0,NONE,6
TXN6587C4038B5A,2026-07-08T03:00:04.519018,CUST005096,DEV00010540,MER004618,Entertainment,UPI,4143.05,Delhi,Delhi,Axis Bank,SUCCESS,0,NONE,8
TXNC8B8FA702900,2026-07-08T03:00:05.533440,CUST000351,DEV00000716,MER001612,Grocery,CARD,1292.84,Kochi,Kerala,State Bank of India,SUCCESS,0,NONE,9
TXN979D99023051,2026-07-08T03:00:06.545187,CUST008199,DEV00016918,MER003428,App Store,ATM,2922.61,Hyderabad,Telangana,Canara Bank,SUCCESS,0,NONE,7
