transaction_id,timestamp,customer_id,device_id,merchant_id,merchant_category,transaction_type,amount,city,state,bank,status,is_fraud,fraud_type,risk_score,alert_priority
TXNA946D04D8D79,2026-07-08T02:45:27.555562,CUST006253,DEV00012916,MER003727,Ride Sharing,UPI,30351.47,Warangal,Telangana,ICICI Bank,SUCCESS,0,NONE,5,LOW
TXN9190EB2B133E,2026-07-08T02:45:27.561523,CUST005734,DEV00011860,MER000166,Luxury,NET_BANKING,7246.85,Visakhapatnam,Andhra Pradesh,Axis Bank,SUCCESS,0,NONE,12,LOW
TXN6DB8458736FC,2026-07-08T02:45:27.567771,CUST006192,DEV00012789,MER003438,Ride Sharing,CARD,9443.93,Delhi,Delhi,ICICI Bank,SUCCESS,0,NONE,8,LOW
TXN7BC7FA447FC1,2026-07-08T02:45:27.574432,CUST003235,DEV00006649,MER000794,Supermarket,UPI,17887.22,Chandigarh,Chandigarh,ICICI Bank,SUCCESS,0,NONE,22,LOW
TXN6941A8016D8A,2026-07-08T02:45:27.579689,CUST008321,DEV00017176,MER001652,E-Commerce,UPI,1825.84,Chandigarh,Chandigarh,HDFC Bank,SUCCESS,0,NONE,18,LOW
TXND2F9B760D235,2026-07-08T02:45:27.586815,CUST006552,DEV00013544,MER003728,Fuel,CARD,27332.57,Nagpur,Maharashtra,HDFC Bank,SUCCESS,1,HIGH_RISK_MERCHANT,77,MEDIUM
TXNEC437369E349,2026-07-08T02:45:27.599773,CUST000498,DEV00001001,MER001606,Telecom,UPI,15097.06,Chandigarh,Chandigarh,Punjab National Bank,SUCCESS,0,NONE,21,LOW
TXNCEB3F147EF72,2026-07-08T02:45:27.609209,CUST002097,DEV00004242,MER002390,Jewellery,ATM,5024.75,Hyderabad,Telangana,State Bank of India,SUCCESS,0,NONE,22,LOW
TXN1751B9CEE483,2026-07-08T02:45:27.616605,CUST008182,DEV00016888,MER001611,Ride Sharing,NET_BANKING,2782.32,Hyderabad,Telangana,State Bank of India,SUCCESS,0,NONE,25,LOW
TXN4FA9A672B441,2026-07-08T02:45:27.622849,CUST000206,DEV00000417,MER002598,Ride Sharing,UPI,987.5,Mumbai,Maharashtra,ICICI Bank,SUCCESS,0,NONE,18,LOW
TXNCCF8D72B032F,2026-07-08T02:45:27.631348,CUST000993,DEV00002007,MER000968,Fuel,CARD,2518.71,Chandigarh,Chandigarh,HDFC Bank,SUCCESS,0,NONE,23,LOW
TXN05AD6ADD7B26,2026-07-08T02:45:27.642576,CUST000579,DEV00001168,MER001764,Grocery,NET_BANKING,2929.42,Jaipur,Rajasthan,State Bank of India,SUCCESS,0,NONE,5,LOW
TXN9D06CEBC2FB4,2026-07-08T02:45:27.651095,CUST000353,DEV00000720,MER003633,Fuel,CARD,7730.7,Bengaluru,Karnataka,Axis Bank,SUCCESS,0,NONE,10,LOW
TXN32B02F820921,2026-07-08T02:45:27.658903,CUST007979,DEV00016482,MER001767,Electronics,NET_BANKING,3492.82,Kolkata,West Bengal,Axis Bank,SUCCESS,0,NONE,15,LOW
TXNAADEAC108406,2026-07-08T02:45:27.666548,CUST003827,DEV00007902,MER001914,App Store,ATM,911.55,Bhopal,Madhya Pradesh,Axis Bank,SUCCESS,0,NONE,11,LOW
TXN56385DEC2391,2026-07-08T02:45:27.676994,CUST004625,DEV00009556,MER001822,Charity,NET_BANKING,5465.53,Chennai,Tamil Nadu,HDFC Bank,SUCCESS,0,NONE,15,LOW
TXN86708C16B726,2026-07-08T02:45:27.684606,CUST009610,DEV00019856,MER002037,Airlines,UPI,3760.59,Chandigarh,Chandigarh,HDFC Bank,SUCCESS,0,NONE,17,LOW
TXN7BB34DE3BDD0,2026-07-08T02:45:27.696707,CUST006966,DEV00014410,MER002091,Airlines,UPI,9778.87,Vijayawada,Andhra Pradesh,ICICI Bank,SUCCESS,0,NONE,16,LOW
TXNB86987F0844E,2026-07-08T02:45:27.803676,CUST003732,DEV00007699,MER003082,Pharmacy,ATM,1059.62,Delhi,Delhi,Axis Bank,SUCCESS,0,NONE,6,LOW
TXN8E569DEB6156,2026-07-08T02:45:27.811971,CUST005902,DEV00012219,MER001444,E-Commerce,NET_BANKING,1800.49,Mumbai,Maharashtra,State Bank of India,SUCCESS,0,NONE,22,LOW
