transaction_id,timestamp,customer_id,device_id,merchant_id,merchant_category,transaction_type,amount,city,state,bank,status,is_fraud,fraud_type,risk_score,kafka_timestamp
TXN7C564A4BD55A,2026-07-08T16:44:05.007761,CUST007486,DEV00015487,MER003148,Streaming,CARD,3790.64,Kolkata,West Bengal,Axis Bank,SUCCESS,0,NONE,11,2026-07-08 11:14:05.007
TXN1E3CECD3F079,2026-07-08T16:36:37.419103,CUST004541,DEV00009376,MER002866,Travel,CARD,5059.74,Pune,Maharashtra,Axis Bank,SUCCESS,0,NONE,12,2026-07-08 11:06:37.419
TXND3CBDC73D2F7,2026-07-08T16:32:27.130919,CUST005290,DEV00010927,MER004715,Travel,CARD,10054.67,Thiruvananthapuram,Kerala,State Bank of India,SUCCESS,0,NONE,5,2026-07-08 11:02:27.130
TXN9893811E6D39,2026-07-08T16:22:49.246079,CUST004483,DEV00009261,MER001879,Food Delivery,ATM,9921.13,Coimbatore,Tamil Nadu,State Bank of India,SUCCESS,0,NONE,16,2026-07-08 10:52:49.246
TXN12DE3673478B,2026-07-08T16:40:13.288739,CUST006872,DEV00014201,MER003559,Telecom,NET_BANKING,18019.87,Visakhapatnam,Andhra Pradesh,ICICI Bank,SUCCESS,0,NONE,16,2026-07-08 11:10:13.288
TXN2CF7C1A835D0,2026-07-08T17:31:25.660601,CUST000653,DEV00001314,MER004787,Fuel,CARD,3116.02,Bhubaneswar,Odisha,HDFC Bank,SUCCESS,0,NONE,22,2026-07-08 12:01:25.660
TXN7299E8FD6507,2026-07-08T17:31:26.674124,CUST009409,DEV00019441,MER003252,Entertainment,ATM,2474.95,Vijayawada,Andhra Pradesh,Axis Bank,SUCCESS,0,NONE,11,2026-07-08 12:01:26.674
TXN185460EC304D,2026-07-08T16:32:47.400746,CUST007128,DEV00014758,MER000398,Grocery,CARD,5455.57,Indore,Madhya Pradesh,State Bank of India,SUCCESS,0,NONE,16,2026-07-08 11:02:47.400
TXN582ECE11D9AD,2026-07-08T16:32:21.047397,CUST005816,DEV00012044,MER004486,Electronics,CARD,40306.93,Vijayawada,Andhra Pradesh,HDFC Bank,SUCCESS,0,NONE,6,2026-07-08 11:02:21.047
TXN9591C25ACA3E,2026-07-08T16:22:21.557334,CUST008039,DEV00016612,MER003200,Airlines,CARD,1558.84,Chandigarh,Chandigarh,HDFC Bank,SUCCESS,0,NONE,25,2026-07-08 10:52:21.557
TXN94DD0BEF4E64,2026-07-08T16:22:22.572686,CUST006697,DEV00013846,MER002572,Telecom,UPI,1993.74,Ahmedabad,Gujarat,ICICI Bank,SUCCESS,0,NONE,10,2026-07-08 10:52:22.572
TXN5BA4ADC96141,2026-07-08T16:58:54.653110,CUST000822,DEV00001650,MER000463,Entertainment,NET_BANKING,1208.8,Chennai,Tamil Nadu,State Bank of India,SUCCESS,0,NONE,20,2026-07-08 11:28:54.653
TXNE9DEE1EC1217,2026-07-08T16:48:00.147620,CUST007128,DEV00014759,MER002186,Telecom,NET_BANKING,2938.51,Indore,Madhya Pradesh,State Bank of India,SUCCESS,0,NONE,12,2026-07-08 11:18:00.147
TXN25AE93E5BC50,2026-07-08T16:44:17.176952,CUST008342,DEV00017210,MER002589,Food Delivery,NET_BANKING,1717.01,Delhi,Delhi,HDFC Bank,SUCCESS,1,VELOCITY,92,2026-07-08 11:14:17.176
TXN2DF8CE9F1758,2026-07-08T16:23:20.356295,CUST004360,DEV00009011,MER001350,Telecom,ATM,2150.91,Kochi,Kerala,HDFC Bank,SUCCESS,0,NONE,15,2026-07-08 10:53:20.356
TXNC353F56BDE2E,2026-07-08T16:23:21.362969,CUST009845,DEV00020365,MER003249,Gaming,NET_BANKING,1672.56,Lucknow,Uttar Pradesh,State Bank of India,SUCCESS,0,NONE,19,2026-07-08 10:53:21.362
TXNFC0E7C2E90DE,2026-07-08T16:35:16.254468,CUST008846,DEV00018260,MER004974,Hotels,ATM,3553.35,Kolkata,West Bengal,ICICI Bank,SUCCESS,0,NONE,5,2026-07-08 11:05:16.254
TXN1ABE8A2987B5,2026-07-08T17:24:15.742306,CUST007168,DEV00014836,MER000800,Fuel,NET_BANKING,4956.97,Lucknow,Uttar Pradesh,HDFC Bank,SUCCESS,0,NONE,17,2026-07-08 11:54:15.742
TXNFB16A324CC87,2026-07-08T16:50:06.704277,CUST005415,DEV00011193,MER002959,Airlines,ATM,3030.75,Jaipur,Rajasthan,ICICI Bank,SUCCESS,0,NONE,19,2026-07-08 11:20:06.704
TXN8932EE0EE257,2026-07-08T17:18:54.759615,CUST008571,DEV00017665,MER000161,App Store,UPI,995.23,Kochi,Kerala,ICICI Bank,SUCCESS,1,HIGH_RISK_MERCHANT,84,2026-07-08 11:48:54.759
TXN384763EBC2C0,2026-07-08T17:18:55.772513,CUST001192,DEV00002412,MER004125,Supermarket,CARD,4458.65,Bengaluru,Karnataka,ICICI Bank,SUCCESS,0,NONE,18,2026-07-08 11:48:55.772
TXNA13AFE53C244,2026-07-08T17:34:55.285778,CUST000997,DEV00002016,MER001190,Jewellery,CARD,1703.36,Jaipur,Rajasthan,ICICI Bank,SUCCESS,0,NONE,23,2026-07-08 12:04:55.285
TXNB75334C405D8,2026-07-08T17:27:20.375224,CUST000741,DEV00001493,MER000654,Grocery,ATM,3029.41,Jaipur,Rajasthan,HDFC Bank,SUCCESS,0,NONE,18,2026-07-08 11:57:20.375
TXN80B2A4AB6502,2026-07-08T17:24:25.970757,CUST005069,DEV00010488,MER000719,Charity,CARD,3210.29,Visakhapatnam,Andhra Pradesh,Canara Bank,SUCCESS,1,HIGH_RISK_MERCHANT,83,2026-07-08 11:54:25.970
TXND1211A212038,2026-07-08T17:04:42.279278,CUST008543,DEV00017611,MER000344,App Store,UPI,3709.43,Indore,Madhya Pradesh,State Bank of India,SUCCESS,0,NONE,5,2026-07-08 11:34:42.279
TXN7948DF9F0F64,2026-07-08T16:37:58.708049,CUST000015,DEV00000029,MER004655,Airlines,ATM,1335.47,Indore,Madhya Pradesh,ICICI Bank,FAILED,0,NONE,9,2026-07-08 11:07:58.708
TXN0D443ABE990A,2026-07-08T16:25:57.187234,CUST001666,DEV00003361,MER004983,Telecom,UPI,1593.26,Lucknow,Uttar Pradesh,HDFC Bank,SUCCESS,0,NONE,8,2026-07-08 10:55:57.187
TXNB6E0AF3CCADC,2026-07-08T16:51:25.648446,CUST004696,DEV00009699,MER000341,Travel,NET_BANKING,10591.72,Kolkata,West Bengal,ICICI Bank,SUCCESS,0,NONE,16,2026-07-08 11:21:25.648
TXN4E87A690432C,2026-07-08T17:22:52.275152,CUST009149,DEV00018904,MER000614,Crypto,NET_BANKING,3243.21,Bengaluru,Karnataka,HDFC Bank,SUCCESS,0,NONE,22,2026-07-08 11:52:52.276
TXN7F4C0787ED30,2026-07-08T17:22:53.293887,CUST009243,DEV00019099,MER000507,Gaming,CARD,2120.63,Delhi,Delhi,ICICI Bank,SUCCESS,0,NONE,21,2026-07-08 11:52:53.293
TXN8D908CFADCBF,2026-07-08T17:34:52.248579,CUST000632,DEV00001272,MER001757,Hotels,ATM,1218.95,Indore,Madhya Pradesh,HDFC Bank,SUCCESS,0,NONE,24,2026-07-08 12:04:52.248
